animal_id,greutatea_curenta,varsta_animalului,orele_de_activitate,grame_hrana_necesare
PET_00077,15.44,1.3,6.4,316.0
PET_00078,13.5,2.7,4.4,240.0
PET_00079,15.46,5.2,6.9,314.0
PET_00080,5.06,1.9,1.0,120.0
PET_00081,13.9,2.4,2.1,229.0
PET_00082,16.79,5.6,6.9,302.0
PET_00083,22.39,4.4,4.0,337.0
PET_00084,12.41,5.9,0.8,169.0
PET_00085,10.96,5.4,0.7,196.0
PET_00086,12.49,7.9,2.0,221.0
PET_00087,19.58,11.3,4.0,265.0
PET_00088,16.64,1.7,5.2,280.0
PET_00089,12.35,1.6,3.2,224.0
PET_00090,17.57,10.3,5.0,248.0
PET_00091,15.49,6.3,2.9,232.0
PET_00092,19.84,9.3,7.1,337.0
PET_00093,11.49,3.0,10.4,351.0
PET_00094,13.36,10.0,3.0,189.0
PET_00095,13.04,11.1,5.2,219.0
PET_00096,7.68,7.8,5.0,208.0
PET_00097,16.48,1.7,4.3,294.0
PET_00098,16.31,10.8,5.6,236.0
PET_00099,15.03,9.6,5.2,249.0
PET_00100,13.83,9.1,2.8,207.0
PET_00101,7.92,0.9,7.3,383.0
PET_00102,12.9,9.7,4.5,199.0
PET_00103,13.29,2.1,3.0,235.0
PET_00104,10.99,3.1,10.1,365.0
PET_00105,14.19,7.1,3.7,264.0
PET_00106,17.02,3.5,4.6,283.0
PET_00107,24.43,8.1,4.4,326.0
PET_00108,15.87,7.5,3.7,254.0
PET_00109,16.29,1.7,5.1,294.0
PET_00110,14.63,8.0,1.9,217.0
PET_00111,5.41,11.1,5.5,193.0
PET_00112,14.87,2.4,0.5,194.0
PET_00113,15.3,7.4,0.8,196.0
PET_00114,27.32,4.4,8.6,426.0
PET_00115,14.04,5.8,0.9,202.0
PET_00116,16.51,3.8,0.5,227.0
PET_00117,14.83,4.6,0.9,221.0
PET_00118,9.16,0.8,8.4,434.0
PET_00119,20.71,11.8,0.5,202.0
PET_00120,18.76,7.7,1.6,262.0
PET_00121,18.96,6.3,0.5,232.0
PET_00122,10.45,4.9,3.3,214.0
PET_00123,22.01,6.7,2.9,295.0
PET_00124,7.99,4.9,2.8,193.0
PET_00125,17.93,4.6,8.6,373.0
PET_00126,25.95,5.8,1.0,285.0
PET_00127,10.05,3.7,3.7,233.0
PET_00128,12.17,2.6,4.8,241.0
PET_00129,15.5,6.9,1.5,237.0
PET_00130,12.48,10.2,5.2,214.0
PET_00131,7.25,2.3,3.0,196.0
PET_00132,15.34,0.9,4.9,431.0
PET_00133,9.69,3.3,3.7,210.0
PET_00134,17.37,11.8,0.5,204.0
PET_00135,10.4,10.0,7.3,258.0
PET_00136,22.75,7.4,9.2,412.0
PET_00137,11.08,11.2,3.6,216.0
PET_00138,13.39,5.6,1.8,223.0
PET_00139,19.07,11.8,7.8,302.0
PET_00140,8.85,3.9,8.7,266.0
PET_00141,16.14,3.3,3.6,269.0
PET_00142,21.54,7.8,3.5,320.0
PET_00143,6.96,4.8,3.8,204.0
PET_00144,15.92,7.7,0.5,225.0
PET_00145,16.3,4.0,3.3,253.0
PET_00146,18.91,7.6,8.3,364.0
PET_00147,8.82,3.7,3.6,207.0
PET_00148,8.4,1.1,1.4,174.0
PET_00149,17.61,11.0,5.2,275.0
PET_00150,16.48,10.7,2.3,233.0
PET_00151,16.25,11.7,3.8,257.0
PET_00152,16.73,8.7,0.8,215.0
PET_00153,11.6,8.4,1.4,173.0
PET_00154,16.16,6.9,5.8,295.0
PET_00155,16.47,1.9,4.3,289.0
PET_00156,11.43,2.7,2.1,214.0
PET_00157,24.33,3.8,4.3,346.0
PET_00158,17.37,10.7,2.5,205.0
PET_00159,9.04,2.5,2.0,176.0
PET_00160,18.28,11.1,6.9,308.0
PET_00161,10.13,6.5,6.0,252.0
PET_00162,18.94,8.7,3.9,256.0
PET_00163,20.79,1.8,4.4,321.0
PET_00164,10.9,3.6,4.0,219.0
PET_00165,19.82,11.5,5.2,276.0
PET_00166,17.06,3.6,2.0,238.0
PET_00167,19.11,3.9,6.2,326.0
PET_00168,24.48,2.8,4.9,343.0
PET_00169,13.77,2.0,3.3,244.0
PET_00170,11.23,3.2,2.8,223.0
PET_00171,10.55,7.9,6.1,275.0
PET_00172,10.92,5.7,3.6,200.0
PET_00173,14.61,6.9,2.3,249.0
PET_00174,16.71,1.9,3.0,268.0
PET_00175,16.38,9.7,5.9,251.0
PET_00176,19.14,9.5,0.5,195.0
PET_00177,15.07,0.7,3.1,354.0
PET_00178,22.27,4.9,6.7,345.0
PET_00179,13.68,1.3,3.6,277.0
PET_00180,28.6,9.6,4.7,326.0
PET_00181,18.13,9.0,6.7,303.0
PET_00182,10.71,10.9,6.2,228.0
PET_00183,9.65,3.2,2.9,203.0
PET_00184,17.41,5.7,3.7,280.0
PET_00185,13.88,2.6,6.3,268.0
PET_00186,18.57,4.8,6.3,352.0
PET_00187,17.37,6.5,3.8,273.0
PET_00188,14.64,1.1,3.9,258.0
PET_00189,10.77,8.7,4.7,217.0
PET_00190,7.43,6.7,7.4,248.0
PET_00191,12.77,10.0,6.7,258.0
PET_00192,19.28,3.6,5.7,327.0
PET_00193,16.07,10.9,1.3,200.0
PET_00194,8.77,12.0,3.3,164.0
PET_00195,15.87,11.1,3.4,206.0
PET_00196,16.93,9.4,7.5,304.0
PET_00197,10.58,9.8,3.4,182.0
PET_00198,15.77,7.1,7.1,292.0
PET_00199,15.29,2.7,2.6,247.0
PET_00200,9.29,8.3,2.8,161.0
PET_00201,16.79,8.7,5.2,267.0
PET_00202,17.8,11.8,7.9,294.0
PET_00203,20.42,6.7,3.5,275.0
PET_00204,20.27,3.6,0.5,262.0
PET_00205,8.11,8.4,0.5,136.0
PET_00206,10.31,11.8,4.7,201.0
PET_00207,17.58,2.5,0.5,231.0
PET_00208,17.57,4.2,1.8,257.0
PET_00209,17.58,6.7,4.0,279.0
PET_00210,30.0,2.5,0.5,306.0
PET_00211,17.85,0.8,3.1,420.0
PET_00212,20.68,4.4,1.1,271.0
PET_00213,19.77,10.5,0.5,212.0
PET_00214,18.26,1.0,2.0,261.0
PET_00215,13.42,5.4,1.3,208.0
PET_00216,18.79,9.3,5.2,271.0
PET_00217,11.14,11.5,7.0,261.0
PET_00218,13.82,11.8,3.1,221.0
PET_00219,12.57,5.4,2.5,195.0
PET_00220,15.41,11.4,3.0,228.0
PET_00221,26.57,0.9,1.2,500.0
PET_00222,5.66,9.1,0.8,117.0
PET_00223,18.43,7.9,0.5,235.0
PET_00224,6.94,3.4,0.7,132.0
PET_00225,12.64,6.3,8.1,307.0
PET_00226,20.44,2.0,2.3,278.0
PET_00227,15.32,10.5,0.5,165.0
PET_00228,9.61,4.6,2.5,173.0
PET_00229,11.42,7.7,0.5,162.0
PET_00230,18.4,2.3,4.1,309.0
PET_00231,11.35,2.9,3.9,216.0
PET_00232,16.08,11.9,4.1,235.0
PET_00233,15.23,9.2,3.9,231.0
PET_00234,11.74,11.6,3.1,181.0
PET_00235,25.72,3.9,0.5,294.0
PET_00236,18.17,2.4,3.8,295.0
PET_00237,5.0,6.3,6.5,219.0
PET_00238,15.93,6.2,8.5,364.0
PET_00239,11.69,2.5,3.4,238.0
PET_00240,19.26,8.9,3.7,278.0
PET_00241,11.04,4.7,5.3,253.0
PET_00242,14.43,2.6,7.7,324.0
PET_00243,17.52,4.3,2.8,259.0
PET_00244,19.33,7.0,5.7,341.0
PET_00245,9.0,8.9,1.9,149.0
PET_00246,13.33,6.0,4.8,260.0
PET_00247,12.63,6.5,6.4,313.0
PET_00248,11.73,2.1,0.8,164.0
PET_00249,23.83,11.0,2.7,273.0
PET_00250,17.02,11.2,6.4,277.0
PET_00251,8.7,8.4,5.5,205.0
PET_00252,19.59,0.7,6.6,500.0
PET_00253,25.61,6.7,6.1,371.0
PET_00254,20.16,7.7,3.1,276.0
PET_00255,7.4,11.9,9.5,265.0
PET_00256,12.58,12.0,4.3,223.0
PET_00257,21.33,10.4,0.5,188.0
PET_00258,11.46,1.2,3.3,211.0
PET_00259,17.22,11.5,2.8,229.0
PET_00260,18.87,7.5,6.0,333.0
PET_00261,10.37,9.7,2.9,154.0
PET_00262,14.7,5.2,6.7,321.0
PET_00263,5.0,4.2,5.4,209.0
PET_00264,9.88,5.8,1.5,186.0
PET_00265,13.74,2.2,3.6,238.0
PET_00266,8.76,4.6,2.1,158.0
PET_00267,23.16,10.4,4.5,288.0
PET_00268,7.85,0.9,2.0,262.0
PET_00269,12.8,2.2,4.2,249.0
PET_00270,15.65,1.9,3.3,255.0
PET_00271,22.21,5.1,3.6,338.0
PET_00272,7.82,12.0,9.1,229.0
PET_00273,20.82,2.5,3.1,285.0
PET_00274,15.05,2.2,0.5,199.0
PET_00275,10.09,11.0,6.5,231.0
PET_00276,17.31,10.6,6.5,294.0
PET_00277,16.0,0.9,0.5,336.0
PET_00278,12.0,9.1,2.2,194.0
PET_00279,15.35,8.0,5.1,286.0
PET_00280,13.07,9.3,5.3,209.0
PET_00281,15.57,6.2,4.0,239.0
PET_00282,18.31,11.9,4.0,264.0
PET_00283,22.93,1.0,1.7,308.0
PET_00284,8.81,3.2,0.5,163.0
PET_00285,25.67,5.1,9.1,427.0
PET_00286,5.24,5.7,1.6,134.0
PET_00287,14.24,11.1,4.4,220.0
PET_00288,17.94,6.9,3.6,259.0
PET_00289,16.4,1.0,6.2,325.0
PET_00290,11.89,5.2,4.3,274.0
PET_00291,13.96,5.3,4.4,253.0
PET_00292,12.53,11.6,0.5,169.0
PET_00293,12.05,7.4,1.9,183.0
PET_00294,19.25,7.8,5.9,302.0
PET_00295,16.79,8.7,5.6,283.0
PET_00296,11.54,9.4,1.6,161.0
PET_00297,19.5,7.8,0.5,248.0
PET_00298,16.54,3.2,4.3,305.0
PET_00299,19.06,10.6,0.5,194.0
PET_00300,18.15,8.9,1.1,225.0
PET_00301,10.86,9.0,8.4,257.0
PET_00302,12.2,12.0,7.6,248.0
PET_00303,18.74,9.7,5.2,290.0
PET_00304,18.05,10.0,4.8,239.0
PET_00305,14.9,11.4,0.5,167.0
PET_00306,15.59,2.2,2.1,257.0
PET_00307,21.39,6.2,3.3,318.0
PET_00308,12.04,7.2,2.2,195.0
PET_00309,17.74,4.3,3.1,284.0
PET_00310,13.99,10.2,7.2,254.0
PET_00311,13.91,9.3,2.6,188.0
PET_00312,20.49,8.8,3.1,257.0
PET_00313,19.13,12.0,5.8,288.0
PET_00314,19.07,3.5,0.5,219.0
PET_00315,21.53,9.0,1.9,270.0
PET_00316,15.11,6.8,2.2,199.0
PET_00317,18.41,4.1,4.1,294.0
PET_00318,13.45,2.3,3.1,242.0
PET_00319,16.62,10.8,3.2,198.0
PET_00320,14.35,7.3,2.3,241.0
PET_00321,15.48,10.0,1.3,175.0
PET_00322,17.98,6.8,5.5,311.0
PET_00323,10.91,3.0,3.2,224.0
PET_00324,25.46,4.4,5.5,352.0
PET_00325,9.97,4.9,1.2,155.0
PET_00326,8.93,11.7,2.3,176.0
PET_00327,20.79,0.6,3.4,458.0
PET_00328,18.96,11.8,3.7,207.0
PET_00329,18.12,11.8,5.9,272.0
PET_00330,18.14,12.0,2.9,227.0
PET_00331,14.94,6.0,5.9,297.0
PET_00332,10.51,11.6,4.9,176.0
PET_00333,15.38,5.0,3.7,259.0
PET_00334,11.61,0.8,1.6,288.0
PET_00335,19.88,3.1,5.9,342.0
PET_00336,14.26,11.4,1.7,189.0
PET_00337,10.87,0.7,3.9,360.0
PET_00338,13.39,6.8,3.9,265.0
PET_00339,17.06,1.4,3.5,310.0
PET_00340,12.18,3.8,3.0,207.0
PET_00341,10.89,1.5,1.9,193.0
PET_00342,16.22,10.4,0.5,189.0
PET_00343,16.22,7.3,7.5,328.0
PET_00344,12.47,10.9,2.8,147.0
PET_00345,12.64,8.4,3.7,205.0
PET_00346,16.16,11.7,3.7,246.0
PET_00347,7.76,6.4,6.7,229.0
PET_00348,7.96,7.8,8.8,290.0
PET_00349,11.41,7.1,4.4,208.0
PET_00350,13.93,6.1,3.6,257.0
PET_00351,16.55,10.2,1.2,196.0
PET_00352,22.38,7.9,0.5,244.0
PET_00353,19.29,9.7,0.5,195.0
PET_00354,14.2,9.5,2.0,167.0
PET_00355,14.9,2.7,0.5,218.0
PET_00356,9.99,8.0,6.7,253.0
PET_00357,14.91,2.8,5.1,293.0
PET_00358,13.56,7.2,3.4,221.0
PET_00359,16.61,8.3,6.8,320.0
PET_00360,10.86,12.0,1.3,173.0
PET_00361,17.6,0.9,2.0,414.0
PET_00362,22.66,1.5,0.5,300.0
PET_00363,14.46,1.4,5.9,290.0
PET_00364,17.01,5.1,2.0,229.0
PET_00365,18.45,9.9,4.0,282.0
PET_00366,12.99,10.2,6.5,250.0
PET_00367,16.12,9.0,7.4,304.0
PET_00368,15.06,10.8,3.9,215.0
PET_00369,15.49,4.2,5.0,276.0
PET_00370,11.13,1.5,1.7,209.0
PET_00371,15.12,1.2,8.2,317.0
PET_00372,17.49,10.3,3.6,249.0
PET_00373,22.26,8.9,4.2,292.0
PET_00374,19.8,8.5,3.0,240.0
PET_00375,25.77,4.4,7.0,404.0
PET_00376,11.16,4.9,4.5,243.0
PET_00377,19.36,11.5,5.9,290.0
PET_00378,15.92,1.2,4.9,304.0
PET_00379,25.95,9.4,3.4,285.0
PET_00380,10.96,4.1,6.3,313.0
PET_00381,10.8,0.9,4.9,376.0
PET_00382,12.0,9.0,1.6,166.0
PET_00383,5.0,4.3,1.5,168.0
PET_00384,12.37,8.8,4.4,189.0
PET_00385,11.2,8.6,6.3,268.0
PET_00386,15.75,6.7,8.1,340.0
PET_00387,16.71,9.4,0.5,176.0
PET_00388,24.38,7.2,4.1,318.0
PET_00389,19.75,3.8,5.2,305.0
PET_00390,12.12,8.9,4.7,214.0
PET_00391,10.51,7.3,6.5,271.0
PET_00392,17.46,0.6,5.6,488.0
PET_00393,8.4,10.9,1.5,141.0
PET_00394,24.16,6.8,1.5,279.0
PET_00395,20.9,10.5,4.8,301.0
PET_00396,12.65,10.7,6.5,289.0
PET_00397,6.43,5.6,4.4,222.0
PET_00398,21.77,6.3,0.5,245.0
PET_00399,14.43,5.3,1.4,218.0
PET_00400,21.19,5.7,5.7,349.0
PET_00401,7.03,10.8,3.1,177.0
PET_00402,12.0,9.6,4.3,206.0
PET_00403,15.03,2.0,6.7,302.0
PET_00404,15.23,7.5,1.0,222.0
PET_00405,12.75,12.0,3.0,197.0
PET_00406,18.11,7.3,2.7,242.0
PET_00407,9.66,9.5,4.9,214.0
PET_00408,14.29,9.3,5.9,281.0
PET_00409,15.6,4.5,0.5,194.0
PET_00410,17.57,4.8,4.0,270.0
PET_00411,18.56,8.8,6.2,291.0
PET_00412,9.38,6.2,0.5,162.0
PET_00413,7.33,7.1,3.8,192.0
PET_00414,21.39,8.7,1.0,244.0
PET_00415,16.66,9.4,2.4,218.0
PET_00416,11.26,3.6,0.5,187.0
PET_00417,22.76,2.2,7.5,382.0
PET_00418,15.58,3.9,3.1,234.0
PET_00419,20.9,6.3,2.0,265.0
PET_00420,15.34,4.4,4.8,260.0
PET_00421,25.3,7.0,1.4,300.0
PET_00422,23.78,1.1,1.2,259.0
PET_00423,13.76,6.4,7.8,311.0
PET_00424,19.86,4.7,8.5,378.0
PET_00425,18.23,6.6,2.5,242.0
PET_00426,21.84,5.4,6.7,360.0
PET_00427,10.18,3.8,4.9,242.0
PET_00428,18.43,10.9,0.5,212.0
PET_00429,20.29,2.6,1.7,252.0
PET_00430,6.21,8.3,7.9,235.0
PET_00431,9.08,11.1,0.5,134.0
PET_00432,5.0,6.7,9.7,281.0
PET_00433,13.65,10.6,2.6,186.0
PET_00434,18.59,1.9,8.0,352.0
PET_00435,22.51,6.2,3.2,334.0
PET_00436,15.37,5.8,6.0,300.0
PET_00437,23.14,0.6,7.5,500.0
PET_00438,8.1,5.6,7.5,300.0
PET_00439,6.48,4.7,2.5,171.0
PET_00440,14.72,8.2,1.9,232.0
PET_00441,16.92,11.3,3.8,214.0
PET_00442,14.84,1.5,0.7,205.0
PET_00443,5.0,4.3,4.6,174.0
PET_00444,14.55,5.6,1.9,218.0
PET_00445,8.48,5.7,6.7,255.0
PET_00446,18.35,9.4,2.6,222.0
PET_00447,16.83,5.6,0.5,213.0
PET_00448,10.3,0.8,7.5,438.0
PET_00449,12.43,8.7,4.5,217.0
PET_00450,9.7,10.7,4.1,178.0
PET_00451,14.69,6.4,6.7,327.0
PET_00452,19.78,7.2,6.2,319.0
PET_00453,10.07,2.4,2.1,197.0
PET_00454,17.52,3.0,2.9,248.0
PET_00455,12.35,3.2,1.2,181.0
PET_00456,11.04,5.5,0.5,155.0
PET_00457,14.46,11.2,5.4,241.0
PET_00458,9.82,6.5,5.0,238.0
PET_00459,12.23,2.7,5.9,262.0
PET_00460,9.01,3.6,7.2,268.0
PET_00461,24.82,4.9,5.9,360.0
PET_00462,15.18,7.7,6.2,282.0
PET_00463,11.5,5.6,0.5,187.0
PET_00464,16.07,5.0,3.2,235.0
PET_00465,14.44,7.0,6.4,298.0
PET_00466,13.9,3.3,1.1,230.0
PET_00467,18.07,1.4,4.2,315.0
PET_00468,18.79,0.8,5.3,493.0
PET_00469,12.35,3.4,5.1,264.0
PET_00470,12.12,1.6,4.9,273.0
PET_00471,13.62,4.4,5.5,285.0
PET_00472,5.0,9.4,4.5,185.0
PET_00473,7.42,8.7,0.5,116.0
PET_00474,21.83,7.5,5.3,350.0
PET_00475,23.22,10.3,4.7,292.0
PET_00476,13.75,3.7,0.5,220.0
PET_00477,17.88,10.7,7.4,299.0
PET_00478,16.56,5.1,5.3,273.0
PET_00479,30.0,5.1,0.5,320.0
PET_00480,20.6,5.2,2.0,282.0
PET_00481,14.36,1.6,2.6,263.0
PET_00482,10.22,11.7,2.6,152.0
PET_00483,6.97,2.1,4.7,190.0
PET_00484,16.02,4.4,1.6,236.0
PET_00485,11.22,4.2,6.8,291.0
PET_00486,7.89,1.4,6.6,238.0
PET_00487,11.77,2.3,5.5,264.0
PET_00488,9.59,1.0,4.1,224.0
PET_00489,23.44,3.9,6.3,385.0
PET_00490,19.41,10.5,3.3,240.0
PET_00491,14.96,4.4,2.2,224.0
PET_00492,22.4,1.9,7.0,383.0
PET_00493,15.39,7.9,4.8,253.0
PET_00494,10.69,12.0,2.3,193.0
PET_00495,22.62,3.2,3.0,323.0
PET_00496,17.69,3.7,2.2,243.0
PET_00497,9.81,11.7,9.1,252.0
PET_00498,14.05,2.6,4.0,244.0
PET_00499,10.62,6.4,4.4,240.0
PET_00500,8.09,3.3,5.8,227.0
PET_00501,19.63,11.2,1.0,206.0
PET_00502,24.55,11.8,6.7,311.0
PET_00503,8.01,9.9,2.5,160.0
PET_00504,17.81,4.1,8.6,378.0
PET_00505,11.75,5.1,3.2,219.0
PET_00506,12.56,3.3,6.6,296.0
PET_00507,12.04,10.7,0.5,159.0
PET_00508,10.68,11.0,1.1,149.0
PET_00509,15.24,5.3,3.3,262.0
PET_00510,10.85,8.1,0.5,126.0
PET_00511,16.35,2.4,5.5,311.0
PET_00512,14.75,5.5,4.8,276.0
PET_00513,13.81,7.8,1.5,220.0
PET_00514,10.46,4.9,4.0,226.0
PET_00515,12.12,4.6,6.0,274.0
PET_00516,18.78,0.5,0.5,349.0
PET_00517,17.5,9.7,0.8,216.0
PET_00518,10.11,10.7,3.2,142.0
PET_00519,15.5,11.6,4.1,237.0
PET_00520,18.76,8.8,3.9,254.0
PET_00521,6.65,6.8,6.2,228.0
PET_00522,17.72,3.6,5.2,303.0
PET_00523,11.69,12.0,5.7,226.0
PET_00524,17.85,7.3,0.5,224.0
PET_00525,11.18,8.3,4.4,197.0
PET_00526,5.98,8.3,3.2,154.0
PET_00527,6.86,10.2,7.7,233.0
PET_00528,15.24,0.6,4.4,406.0
PET_00529,16.3,3.0,2.3,253.0
PET_00530,10.48,8.2,6.1,237.0
PET_00531,18.19,10.8,5.4,259.0
PET_00532,6.69,8.4,1.9,118.0
PET_00533,14.67,5.3,3.1,230.0
PET_00534,8.94,4.7,3.2,202.0
PET_00535,11.74,9.0,7.1,254.0
PET_00536,15.24,9.0,4.5,259.0
PET_00537,10.7,7.5,5.8,249.0
PET_00538,13.08,3.9,2.8,214.0
PET_00539,20.03,11.1,4.8,284.0
PET_00540,12.12,6.8,7.3,280.0
PET_00541,19.18,9.6,3.1,231.0
PET_00542,9.35,3.0,4.3,215.0
PET_00543,17.65,4.5,0.6,178.0
PET_00544,22.21,10.6,2.1,255.0
PET_00545,5.0,1.1,3.2,189.0
PET_00546,11.02,6.4,1.3,193.0
PET_00547,17.89,6.0,7.3,371.0
PET_00548,13.98,9.1,1.9,210.0
PET_00549,16.86,3.7,6.0,310.0
PET_00550,11.98,3.0,4.5,267.0
PET_00551,15.43,11.2,4.1,228.0
PET_00552,14.22,7.1,7.7,312.0
PET_00553,20.84,1.7,0.5,241.0
PET_00554,16.27,2.7,3.5,264.0
PET_00555,16.69,12.0,1.3,197.0
PET_00556,12.94,2.7,0.5,211.0
PET_00557,12.56,7.5,1.0,194.0
PET_00558,12.84,5.3,4.0,233.0
PET_00559,16.97,10.7,2.2,195.0
PET_00560,12.9,9.2,6.2,257.0
PET_00561,16.45,7.4,3.5,273.0
PET_00562,25.38,0.6,3.2,500.0
PET_00563,19.36,10.6,3.2,240.0
PET_00564,13.37,5.6,3.8,251.0
PET_00565,21.01,11.2,3.0,265.0
PET_00566,12.96,6.2,1.9,185.0
PET_00567,5.0,8.5,6.5,202.0
PET_00568,9.96,1.3,2.4,214.0
PET_00569,5.65,9.1,3.0,153.0
PET_00570,13.24,4.4,5.1,268.0
PET_00571,15.09,4.5,4.8,317.0
PET_00572,23.38,1.9,1.8,325.0
PET_00573,16.63,2.2,5.9,315.0
PET_00574,13.9,2.6,5.3,279.0
PET_00575,19.15,4.3,4.4,314.0
PET_00576,5.0,10.8,2.9,135.0
PET_00577,16.18,4.7,3.0,273.0
PET_00578,18.85,8.8,3.5,230.0
PET_00579,7.61,1.5,0.9,150.0
PET_00580,20.72,7.3,3.9,312.0
PET_00581,16.69,6.0,6.2,328.0
PET_00582,12.92,11.7,6.2,222.0
PET_00583,18.16,10.2,3.0,219.0
PET_00584,26.35,5.7,6.7,375.0
PET_00585,15.91,9.4,8.8,299.0
PET_00586,16.24,2.7,3.2,243.0
PET_00587,12.7,7.0,5.7,278.0
PET_00588,10.75,1.4,0.5,176.0
PET_00589,19.15,4.5,0.9,238.0
PET_00590,10.72,3.1,4.2,236.0
PET_00591,15.36,8.8,1.5,209.0
PET_00592,12.61,6.1,9.1,317.0
PET_00593,17.39,9.1,5.5,241.0
PET_00594,16.67,6.4,6.4,326.0
PET_00595,20.19,1.5,3.9,303.0
PET_00596,12.45,9.0,1.5,154.0
PET_00597,13.65,10.1,2.7,204.0
PET_00598,10.11,10.9,4.6,170.0
PET_00599,12.78,7.1,2.4,198.0
PET_00600,16.89,9.2,5.7,234.0
PET_00601,18.78,9.1,5.8,289.0
PET_00602,10.39,2.3,4.0,254.0
PET_00603,19.35,2.4,0.5,230.0
PET_00604,21.78,1.3,8.3,389.0
PET_00605,17.07,4.2,3.5,298.0
PET_00606,24.38,5.9,10.8,467.0
PET_00607,11.13,12.0,5.6,257.0
PET_00608,8.78,5.5,3.5,205.0
PET_00609,6.11,8.9,5.1,186.0
PET_00610,22.48,8.5,0.5,248.0
PET_00611,18.27,2.9,6.6,337.0
PET_00612,14.72,1.2,10.4,386.0
PET_00613,16.4,6.8,0.5,170.0
PET_00614,9.37,8.6,3.3,204.0
PET_00615,27.23,12.0,3.7,312.0
PET_00616,15.65,4.6,6.2,306.0
PET_00617,15.55,10.8,9.3,329.0
PET_00618,18.63,4.9,5.0,292.0
PET_00619,17.41,8.4,9.4,326.0
PET_00620,16.12,7.4,4.4,282.0
PET_00621,11.05,1.1,5.1,259.0
PET_00622,17.36,1.4,4.8,309.0
PET_00623,24.41,0.7,7.1,500.0
PET_00624,21.73,4.8,2.9,306.0
PET_00625,22.97,9.1,6.0,298.0
PET_00626,12.44,2.5,0.9,210.0
PET_00627,10.05,7.5,3.3,198.0
PET_00628,14.37,3.8,2.4,231.0
PET_00629,15.28,9.7,4.2,224.0
PET_00630,20.47,9.7,3.2,249.0
PET_00631,6.54,9.4,6.8,216.0
PET_00632,22.65,6.5,1.8,292.0
